strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Trinidad and Tobago/170510/2022,EPI_ISL_16554440,Trinidad Public Health Laboratory,The Caribbean Public Health Agency (CARPHA),Carlos Rampersad on behalf of CARPHA
hCoV-19/Senegal/DKR-UVR-1784/2022,EPI_ISL_15321650,Institut Pasteur de Dakar,Institut Pasteur de Dakar,"Ndongo Dia, Mamadou Malado Jallow, Moussa Moise Diagne, Safietou Sankhe, Amadou Diallo, Deborah Goudiaby, Amadou Alpha Sall, Ousmane Faye"
hCoV-19/Australia/QLD0x012F67/2023,EPI_ISL_17173700,Pathology Queensland and Forensic Scientific Services,PHV-FSS,Son Nguyen on behalf of Q-PHIRE Genomics
hCoV-19/Namibia/NIP0031/2023,EPI_ISL_17009772,NIP_Windhoek_Reference laboratory,NIP_Windhoek_Reference laboratory,"Iyaloo Konstantinus, Andreas Shiningavamwe, Naupu Paulina, Ndahafa Frans, Ndinelao Shaanyenange, Nathalia, !Garus-oas, Ndumbu Pentikainen"
hCoV-19/Aruba/AW-RIVM-114508/2022,EPI_ISL_15375034,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Hai Xi Wiegmans, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/USA/HI-CDC-QDX44375826/2022,EPI_ISL_16265278,Quest Diagnostics Incorporated,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell"
hCoV-19/Canada/PE-NML-527641/2022,EPI_ISL_15722650,PE-QEH Dept of Lab Medicine,National Microbiology Laboratory (NML),"Vanessa Arseneau, Xiaofeng Ding, Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Kristyn Burak, Natalie Knox, Morag Graham, Gary Van Domselaar, Gordon Jolly, Carmen Lia Murall, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Emily Haidl, Connor Chato, Chanchal Yadav, Jeff Tuff, Adrian Zetner, Katherine Eaton, Kirsten Biggar, Andrea Tyler, CanCOGeN's metadata curation team, Public Health Agency of Canada's CCGP and Scientific Informatics Services team"
hCoV-19/Seychelles/SS10817/2022,EPI_ISL_15585778,Seychelles Public Health Laboratory,"KEMRI-Wellcome Trust Research Programme,Kilifi","Githinji G., Ochola I., Agoti C., Mohamed K.S., de Laurent Z., Mburu M.W., Morobe J., Ndwiga L. Makori T., Ongera E., Lambisia A. Nokes D J., Brigitte Pool, Jude Gedeon, Meggy Louange, Leon Biscornet"
hCoV-19/Brazil/RJ-FIOCRUZ-21724/2022,EPI_ISL_15729288,"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Paola Resende, Luciana Appolinario, Fernando Motta, Elisa Cavalcante Pereira, Ighor Arantes, Alice Sampaio Rocha, Bruna Mendonça da Silva, Jéssica Graça Macedo de Carvalho, Larissa Macedo Pinto, Victor Guimaraes, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/USA/MS-UMMC-M1018E8-530526/2022,EPI_ISL_16031807,"University of Mississippi Medical Center, Department of Pathology","University of Mississippi Medical Center, Molecular and Genomics Core Facility","Raima Sen, Jake R. Johnston, Kathryn Hellmann, Sarika P. Jain, Sirisha R. Tippani, Michael R. Garrett, D. Ashley Robinson"
